zoom,epoch,batch_id,loss
1,2,2,77.25
1,2,3,79.0
1,2,4,54.0
1,2,5,45.75
1,2,6,47.5
1,2,7,61.0
1,2,8,48.0
1,2,9,42.75
1,2,10,86.625
1,2,11,58.75
1,2,12,83.5
1,2,13,73.125
1,2,14,44.75
1,2,15,112.625
1,2,16,78.0
1,2,17,57.5
1,2,18,68.125
1,2,19,75.125
1,2,20,73.375
1,2,21,38.25
1,2,22,37.125
1,2,23,48.875
1,2,24,45.5
1,2,25,49.75
1,2,26,77.5
1,2,27,86.0
1,2,28,51.5
1,2,29,55.5
1,2,30,76.75
1,2,31,86.5
1,2,32,82.5
1,2,33,42.0
1,2,34,53.5
1,2,35,40.75
1,2,36,67.5
1,2,37,80.75
1,2,38,84.5
1,2,39,63.5
1,2,40,73.125
1,2,41,64.875
1,2,42,60.5
1,2,43,63.375
1,2,44,87.25
1,2,45,110.25
1,2,46,73.0
1,2,47,72.5
2,3,0,21.5
2,3,1,21.75
2,3,2,37.125
2,3,3,43.5
2,3,4,26.25
2,3,5,28.5
2,3,6,50.75
2,3,7,27.5
2,3,8,47.25
2,3,9,27.0
2,3,10,39.5
2,3,11,37.625
2,3,12,48.375
2,3,13,46.0
2,3,14,31.0
2,3,15,48.5
2,3,16,33.625
2,3,17,53.0
2,3,18,50.0
2,3,19,41.75
2,3,20,37.5
2,3,21,27.0
2,3,22,24.625
2,3,23,51.5
2,3,24,33.75
2,3,25,34.0
2,3,26,34.0
2,3,27,35.5
2,3,28,26.875
2,3,29,40.0
2,3,30,26.0
2,3,31,46.25
2,3,32,32.5
2,3,33,40.5
2,3,34,48.0
2,3,35,44.25
2,3,36,28.0
2,3,37,31.625
2,3,38,48.25
2,3,39,28.5
2,3,40,24.875
2,3,41,50.875
2,3,42,28.75
2,3,43,24.625
2,3,44,27.5
2,3,45,28.0
2,3,46,47.0
2,3,47,34.25
0,0,0,960.25
0,0,1,620.625
0,0,2,750.0
0,0,3,646.5
0,0,4,635.375
0,0,5,555.0
0,0,6,521.5
0,0,7,616.25
0,0,8,634.375
0,0,9,527.625
0,0,10,684.75
0,0,11,616.5
0,0,12,416.25
0,0,13,657.0
0,0,14,577.5
0,0,15,451.75
0,0,16,564.5
0,0,17,508.0
0,0,18,535.5
0,0,19,506.125
0,0,20,457.625
0,0,21,440.5
0,0,22,515.375
0,0,23,413.125
0,0,24,347.75
0,0,25,691.375
0,0,26,534.0
0,0,27,574.25
0,0,28,593.75
0,0,29,631.0
0,0,30,441.0
0,0,31,621.0
0,0,32,439.5
0,0,33,501.0
0,0,34,582.75
0,0,35,645.5
0,0,36,423.75
0,0,37,537.875
0,0,38,717.0
0,0,39,539.875
0,0,40,489.5
0,0,41,485.0
0,0,42,494.5
0,0,43,545.25
0,0,44,342.5
0,0,45,332.75
0,0,46,426.5
0,0,47,561.75
0,3,0,634.75
0,3,1,537.625
0,3,2,537.125
0,3,3,568.25
0,3,4,595.0
0,3,5,553.625
0,3,6,382.875
0,3,7,379.25
0,3,8,603.0
0,3,9,593.5
0,3,10,549.875
0,3,11,469.0
0,3,12,444.0
0,3,13,310.5
0,3,14,593.0
0,3,15,614.25
0,3,16,577.0
0,3,17,577.5
0,3,18,675.25
0,3,19,521.5
0,3,20,499.0
0,3,21,472.0
0,3,22,381.875
0,3,23,456.0
0,3,24,467.5
0,3,25,538.375
0,3,26,419.5
0,3,27,567.25
0,3,28,430.625
0,3,29,420.125
0,3,30,560.5
0,3,31,829.75
0,3,32,412.375
0,3,33,532.875
0,3,34,465.0
0,3,35,540.125
0,3,36,400.375
0,3,37,444.5
0,3,38,463.5
0,3,39,311.25
0,3,40,736.0
0,3,41,540.5
0,3,42,416.375
0,3,43,416.125
0,3,44,490.5
0,3,45,535.375
0,3,46,321.5
0,3,47,700.75
